class,original,synthetic,total
pins_Ben Affleck,126,87,213
pins_Bill Gates,122,91,213
pins_Chris Evans,166,47,213
pins_Danielle Panabaker,181,32,213
pins_Eliza Taylor,161,52,213
pins_Elizabeth Lail,155,58,213
pins_Emilia Clarke,209,4,213
pins_Emma Stone,138,75,213
pins_Emma Watson,211,2,213
pins_Jake Mcdorman,159,54,213
pins_Jason Momoa,184,29,213
pins_Jennifer Lawrence,180,33,213
pins_Jeremy Renner,166,47,213
pins_Jessica Barden,141,72,213
pins_Jimmy Fallon,113,100,213
pins_Johnny Depp,180,33,213
pins_Karan Kamble,143,70,213
pins_barack obama,119,94,213
pins_barbara palvin,196,17,213
pins_jeff bezos,102,111,213
