class,samples,percentage,status
pins_Adriana Lima,213,6.33%,✓ Good
pins_Ben Affleck,126,3.74%,✓ Good
pins_Bill Gates,122,3.63%,✓ Good
pins_Chris Evans,166,4.93%,✓ Good
pins_Danielle Panabaker,181,5.38%,✓ Good
pins_Eliza Taylor,161,4.78%,✓ Good
pins_Elizabeth Lail,155,4.61%,✓ Good
pins_Emilia Clarke,209,6.21%,✓ Good
pins_Emma Stone,138,4.10%,✓ Good
pins_Emma Watson,211,6.27%,✓ Good
pins_Jake Mcdorman,159,4.73%,✓ Good
pins_Jason Momoa,184,5.47%,✓ Good
pins_Jennifer Lawrence,180,5.35%,✓ Good
pins_Jeremy Renner,166,4.93%,✓ Good
pins_Jessica Barden,141,4.19%,✓ Good
pins_Jimmy Fallon,113,3.36%,✓ Good
pins_Johnny Depp,180,5.35%,✓ Good
pins_Karan Kamble,143,4.25%,✓ Good
pins_barack obama,119,3.54%,✓ Good
pins_barbara palvin,196,5.82%,✓ Good
pins_jeff bezos,102,3.03%,⚠ Low
